"adult","belongs_to_collection","budget","genres","homepage","id","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count"
"False","{'id': 9818, 'name': 'Mortal Kombat Collection', 'poster_path': '/nauCllomdtyciLCRcVrSJKcJQbn.jpg', 'backdrop_path': '/qD3efz57VGNywAN4lTvgz3FHnBb.jpg'}","18000000","[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","","9312","tt0113855","en","Mortal Kombat","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","10.870138","/bdXWixjWVA7Y03PvW74xufrROiJ.jpg","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Threshold Entertainment', 'id': 4174}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-08-18","122195920","101.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","Nothing In This World Has Prepared You For This.","Mortal Kombat","False","5.4","452"
"False","","33000000","[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","http://www.sevenmovie.com/","807","tt0114369","en","Se7en","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","18.45743","/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Juno Pix', 'id': 4286}, {'name': 'Cecchi Gori Pictures', 'id': 65394}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-09-22","327311859","127.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","Seven deadly sins. Seven ways to die.","Se7en","False","8.1","5915"
"False","{'id': 136214, 'name': 'Pocahontas Collection', 'poster_path': '/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg', 'backdrop_path': '/qqeOxNmtAW7WXdbrmQftgluvve7.jpg'}","55000000","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","","10530","tt0114148","en","Pocahontas","History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","13.280069","/qk95miOV8wDABbO5gyCpCrvbVFu.jpg","[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-06-14","346079773","81.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","An American legend comes to life.","Pocahontas","False","6.7","1509"
"False","","6000000","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects","629","tt0114814","en","The Usual Suspects","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","16.302466","/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg","[{'name': 'Blue Parrot Productions', 'id': 361}, {'name': 'Bad Hat Harry Productions', 'id': 9168}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-07-19","23341568","106.0","[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]","Released","Five Criminals. One Line Up. No Coincidence.","The Usual Suspects","False","8.1","3334"
"False","{'id': 43563, 'name': 'Friday Collection', 'poster_path': '/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg', 'backdrop_path': '/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg'}","3500000","[{'id': 35, 'name': 'Comedy'}]","http://www.newline.com/properties/friday.html","10634","tt0113118","en","Friday","Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","14.56965","/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg","[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-04-26","28215918","91.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","A lot can go down between thursday and saturday...","Friday","False","7.0","513"
"False","{'id': 10924, 'name': 'From Dusk Till Dawn Collection', 'poster_path': '/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg', 'backdrop_path': '/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg'}","19000000","[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","http://www.miramax.com/movie/from-dusk-till-dawn/","755","tt0116367","en","From Dusk Till Dawn","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","15.339153","/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg","[{'name': 'A Band Apart', 'id': 59}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Los Hooligans Productions', 'id': 11705}, {'name': 'Miramax', 'id': 53009}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1996-01-19","25836616","108.0","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","Released","One night is all that stands between them and freedom. But it's going to be a hell of a night.","From Dusk Till Dawn","False","6.9","1644"
"False","","50000000","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","","9208","tt0115759","en","Broken Arrow","When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.","14.957626","/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'WCG Entertainment Productions', 'id': 456}, {'name': 'Mark Gordon Productions', 'id': 11362}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1996-02-09","150270147","108.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","Prepare to Go Ballistic.","Broken Arrow","False","5.7","459"
"False","","3000000","[{'id': 18, 'name': 'Drama'}]","","406","tt0113247","fr","La Haine","Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.","12.108196","/jTzBED0leGPwWDqNewye11qzJgd.jpg","[{'name': 'Egg Pictures', 'id': 802}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Canal+', 'id': 5358}, {'name': 'Les Productions Lazennec', 'id': 5869}, {'name': 'La Sept Cinéma', 'id': 16366}, {'name': 'Kasso Inc. Productions', 'id': 22684}, {'name': 'Studio Image', 'id': 68517}, {'name': 'Cofinergie 6', 'id': 68518}]","[{'iso_3166_1': 'FR', 'name': 'France'}]","1995-05-31","0","98.0","[{'iso_639_1': 'fr', 'name': 'Français'}]","Released","Three Young Friends... One Last Chance.","La Haine","False","7.9","695"
"False","","12000000","[{'id': 35, 'name': 'Comedy'}]","","9614","tt0116483","en","Happy Gilmore","Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.","9.592265","/pG5edeKkntnt5A799Y0UNI5hi9W.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Brillstein-Grey Entertainment', 'id': 1606}, {'name': 'Robert Simonds Productions', 'id': 3929}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1996-02-16","41205099","92.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","He doesn't play golf... he destroys it.","Happy Gilmore","False","6.5","767"
"False","","72000000","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]","","197","tt0112573","en","Braveheart","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","20.755149","/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg","[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'The Ladd Company', 'id': 7965}, {'name': 'B.H. Finance C.V.', 'id': 11353}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-05-24","210000000","177.0","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'gd', 'name': ''}]","Released","Every man dies. Not every man truly lives.","Braveheart","False","7.7","3404"
"False","","1300000","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","","103","tt0075314","en","Taxi Driver","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.","14.092713","/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg","[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Italo/Judeo Productions', 'id': 46059}, {'name': 'Bill/Phillips', 'id': 46060}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1976-02-07","28262574","114.0","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","Released","On every street in every city, there's a nobody who dreams of being a somebody.","Taxi Driver","False","8.1","2632"
"False","{'id': 14890, 'name': 'Bad Boys Collection', 'poster_path': '/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg', 'backdrop_path': '/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg'}","19000000","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","","9737","tt0112442","en","Bad Boys","Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.","9.262184","/1dKsSfpAqWSc5UJT9VIqK5JVFI5.jpg","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-04-07","141407024","118.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","Whatcha gonna do?","Bad Boys","False","6.5","1729"
"False","","0","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","","10474","tt0112461","en","The Basketball Diaries","Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.","7.415144","/8BkedYL5LdpkyHc7JtuohMr8a9N.jpg","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Island Pictures', 'id': 3492}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-04-21","0","102.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","The true story of the death of innocence and the birth of an artist.","The Basketball Diaries","False","7.2","472"
"False","","52000000","[{'id': 18, 'name': 'Drama'}]","","568","tt0112384","en","Apollo 13","The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","18.761467","/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg","[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-06-30","355237933","140.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","Houston, we have a problem.","Apollo 13","False","7.3","1637"
"False","{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}","100000000","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]","","414","tt0112462","en","Batman Forever","The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.","13.321354","/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg","[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Polygram Filmed Entertainment', 'id': 31080}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-06-16","336529144","121.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","Courage now, truth always...","Batman Forever","False","5.2","1529"
"False","{'id': 8819, 'name': 'Casper Collection', 'poster_path': '/nWKbJAOFwJlJm24dTovfQuUJOc2.jpg', 'backdrop_path': None}","50000000","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","","8839","tt0112642","en","Casper","Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.","12.812539","/cpMbvFDD2C21pqMNXVPhSWGQBR9.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'The Harvey Entertainment Company', 'id': 11098}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-05-26","287928194","100.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","Get an afterlife","Casper","False","6.0","1045"
"False","","53000000","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","","8963","tt0112740","en","Crimson Tide","On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.","8.657365","/oDJyDX11HW4j565vUjmFagKxDTQ.jpg","[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-05-12","157387195","116.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","Danger runs deep.","Crimson Tide","False","7.0","508"
"False","{'id': 9649, 'name': 'Mexico Trilogy', 'poster_path': '/qmPhILSFQKaRyc81mVJWl05tHai.jpg', 'backdrop_path': '/6p1OzuIKWnTDfDea7IpB9xra5J.jpg'}","7000000","[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]","","8068","tt0112851","en","Desperado","A gunslinger is embroiled in a war with a local drug runner.","6.950458","/7eVo5DbP7gcsDzHcpRCTA6JAuF2.jpg","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Los Hooligans Productions', 'id': 11705}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-08-25","25405445","104.0","[{'iso_639_1': 'en', 'name': 'English'}]","Released","When the smoke clears, it just means he's reloading.","Desperado","False","6.8","898"
"False","{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}","90000000","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","","1572","tt0112864","en","Die Hard: With a Vengeance","New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.","15.138855","/ivpXGcsPZglyYrN65THWSD7JM3q.jpg","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-05-19","366101666","128.0","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ro', 'name': 'Română'}]","Released","Think fast. Look alive. Die hard.","Die Hard: With a Vengeance","False","6.9","2094"
